Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
17,AASHRAYA CARE & SAFETY FOUNDATION,U88900KA2025NPL208759,Section 8 Company,"no 16 2nd cross chikka Audugodi Bangalore-560029 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560029","Children, Differently Abled, Education & Literacy, HIV/AIDS",ALL,aashrayafoundation07@gmail.com,
18,ABARAN FOUNDATION,210/19-20,Trust,"NO 192 OPP ISKCON WEST OF CHORD ROAD MAHALAKSHMI LAYOUT BANGALORE , Bangalore, BENGALURU URBAN (Karnataka) - 560086","Art & Culture, Biotechnology, Children, Differently Abled, Disaster Management",ALL,info@abaran.in,
19,Abba Presbyterian Church,IV-237,Trust,"Calvin Theological College and Seminary, Kyalasanahalli, Kothanur P O, , Bengaluru East, BENGALURU URBAN (Karnataka) - 560077","Children, Education & Literacy, Aged/Elderly, Health & Family Welfare, Urban Development & Poverty Alleviation",BENGALURU URBAN,samsondevadas12@gmail.com,
20,ABHAYA KALPA FOUNDATION TRUST,IV-436/95-96,Trust,"69 10TH MAIN 2ND STG MARENAHALLI BINNY LAYOUT VIJAYANAGAR BENGALURU , BENGALURU, BENGALURU URBAN (Karnataka) - 560040","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,contact@akftrust.org,https://www.akftrust.org/
21,Abhaya Kalpa Technologies Private Limited,U30007KA2007PTC043253,Section 8 Company,"69 10TH MAIN 2ND STG MARENAHALLI BINNY LAYOUT VIJAYANAGAR BENGALURU , BENGALURU, BENGALURU URBAN (Karnataka) - 560040","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,aktpl.2012@gmail.com,
22,ABHIVADYA FOUNDATION,U88900KA2025NPL201664,Section 8 Company,"NO 80, K NO 126/537/80.10, KAMMANAHALLI VILLAGE, Begur, Bangalore South, Bangalore- 560068, Karnataka , Bengaluru South, BENGALURU URBAN (Karnataka) - 560068","Art & Culture, Children, Drinking Water, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,kashyapmjani@gmail.com,
23,ABHYUDAYA EDUCATION TRUST,107/90-91,Trust,"TARAKA, No170/A, 10 th main, RMV Extension, Opp to BWSSB water tank, Sadashivanagar, Bengaluru 560080 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560080",Education & Literacy,BENGALURU URBAN,abhyudayaedutrust@gmail.com,
24,ABHYUDAYA SEWA FOUNDATION,U85500KA2023NPL181427,Section 8 Company,"No 75/76,4th cross, 2nd main, Soudamini layout, konanakunte, Bengaluru 560062 , Bengaluru, BENGALURU URBAN (Karnataka) - 560062","Art & Culture, Children, Dalit Upliftment, Differently Abled, Disaster Management",ALL,venu@abhyudayakkss.org,
25,ABILITTY UNLIMITED TRUST,BK IV BNG-BMH 124/2017-18,Trust,"T004, Zed Enclave, Singasandra, Hosur Main Road , Bangalore, BENGALURU URBAN (Karnataka) - 560068","Art & Culture, Differently Abled, Education & Literacy, Vocational Training, Skill Development",ALL,abilityunlimited@gmail.com,https://abilityunlimited.com/
26,ABILITY IN DISABILITY,BKIV330/11-12,Trust,"No.270/88-4-5, GROUND FLOOR, HOSUR ROAD, Singasandra, Singasandra B.O, BANGALORE , Bengaluru South, BENGALURU URBAN (Karnataka) - 560068","Agriculture, Biotechnology, Children, Civic Issues, Aged/Elderly",BENGALURU URBAN,foundationaid@gmail.com,
27,ACADEMIC EXPERT SEVA CHARITABLE TRUST,BNS-4-00423-2025-26,Trust,"NO 48 AND 49,2ND FLOOR,VINAYAKA LAYOUT,4TH CROSS, DODDANAGAMANGALA ROAD NAGANATHAPURA,RAYASANDRA,BANGALORE-560100 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560100","Biotechnology, Children, Education & Literacy, Information & Communication Technology, Science & Technology",ALL,myonline1313@gmail.com,
28,ACCESS ASCENT FOUNDATION,U93000KA2014NPL074877,Section 8 Company,"B-406, ITTINA ABBY APTS, 8TH A MN, VIMANAPURA PO, BANGALORE - 560017, Karnataka, INDIA , Bengaluru East, BENGALURU URBAN (Karnataka) - 560017",Differently Abled,BENGALURU URBAN,ashish@amonkar.com,
29,ACT OF LOVE,435,Trust,"3/90 kadrappa building 2, crass colony sagaypuram , Bangalore, BENGALURU URBAN (Karnataka) - 560005","Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests, Health & Family Welfare",ALL,actoflove.india@gmail.com,
30,Action on Disability and Development India,317-89-90,Society,"No 4005, 19th Cross, Banashankari 2nd Stage, Bangalore -560070 , Bangalore, BENGALURU URBAN (Karnataka) - 560070",Differently Abled,ALL,contact@addindia.org,https://www.addindia.org/
31,ACTIVE BENGALURU FOUNDATION,U85500KA2024NPL184982,Section 8 Company,"No 12 1st Floor, Lazar Road, Fraser Town, Bangalore North, Bangalore-560005 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560005",Health & Family Welfare,BENGALURU URBAN,tauseefhere@gmail.com,https://activebengaluru.org/
32,AD FOUNDATION,CMP-4-00155-2022-23,Trust,"No.238, 13th Main, BSK 1st Stage, 2nd Block, Bengaluru - 560050 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560050","Art & Culture, Education & Literacy, Aged/Elderly, Women's Development & Empowerment, Skill Development",BENGALURU URBAN,deepavon@gmail.com,
33,ADAL FOUNDATION,542/18-19,Trust,"10/2, 3RD CROSS, B.M. KRISHNAPPA LAYOUT, SHAMPURA, R.T NAGAR POST, BANGLORE- 560032 , BANGLORE, BENGALURU URBAN (Karnataka) - 560032","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,info@adalfoundation.com,https://adalfoundation.com/
34,ADARSH SEVA KENDRA FOUNDATION,319,Trust,"128 opp masjid -E QUBA, YARAB NAGAR , B Sk II Stage S.O, Bangalore South , BANGALORE SOUTH, BENGALURU URBAN (Karnataka) - 560070","Children, Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare",ALL,adarshasevakendrafoundation@gmail.com,
35,ADHYA YASHMIKA FOUNDATION,U88900KA2024NPL190584,Section 8 Company,"H NO 24, KAITHOTA, IMMADIHALLI,WHITEFIELD,BANGALORE SOUTH BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560066","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,mrameshm159@gmail.com,
36,ADI JAMBAVA SAMSKRUTHIKA PRACHARA SAMITHI,429/2022,Trust,"No 163, 3rd Floor 9th main road, 3rd cross, Rajamahal Extension, Sadashivnagar, Bangalore North, Sadashivanagar S.O, BANGALORE, Karnataka, INDIA560080 , BANGALORE, BENGALURU URBAN (Karnataka) - 560080","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,Nk686978@gmail.com,
37,ADONAI MISSION CHARITABLE TRUST,BNS-4-00815-2021-22,Trust,"No.24 Banaswadi Main Road, Maruthi Sevanagar Post, Bangalore560033 , BANGALORE, BENGALURU URBAN (Karnataka) - 560016","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,adonaiimission@gmail.com,
38,Adoor Family Foundation,MGT-4-00394-2024-25,Trust,"#336 2nd Cross 1st block R T Nagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Art & Culture, Children, Education & Literacy, Aged/Elderly, Science & Technology",BENGALURU URBAN,adoorshamsu@gmail.com,
39,AFIRM INDIA,INR400799201718,Trust,"NO 10/1 1ST FLOOR 1ST MAIN ROAD NEAR PANCHAYATH OFFICE BIDARAHALLI VIGRONAGAR POST BANGALORE 560049 , BANGALORE, BENGALURU URBAN (Karnataka) - 560049","Agriculture, Children, Dalit Upliftment, Differently Abled, Aged/Elderly",ALL,afirmindia.bj@gmail.com,
40,AFTER US CHARITABLE TRUST,JAY-4-01118-2023-24,Trust,"No 57/4, C Main Road, Jayanagar 4th T Block Bangalore 560041 , Bangalore, BENGALURU URBAN (Karnataka) - 560041","Differently Abled, Housing, Vocational Training",ALL,salilchowdhury68@gmail.com,
41,AGAMYA CHARITABLE TRUST,YPR-4-00857-2024-25,Trust,"unit-2 No. 89, 1st Floor HMT Main Raod Mathikere Bengalore 560054 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560054","Children, Differently Abled, Education & Literacy, Food Processing, Human Rights",VIJAYAPURA,kmsfamilysalon.academy@gmail.com,
42,AHAD CHARITABLE TRUST,BK IV BNG BMH 415/2019-2020,Trust,"NO. 80, AHAD PINNACLE, 2ND FLOOR, 5TH BLOCK, KORAMANGALA INDUSTRIAL LAYOUT, BENGALURU560095 , BENGALURU, BENGALURU URBAN (Karnataka) - 560095","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,accounts@ahadbuilders.com,
43,AHUJA CHARITABLE TRUST,CSR00089610,Trust,"No.33, 3rd Floor, No.239, Sankey Road, Sadashivanagar, Bangalore - 560 080 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560080","Children, Differently Abled, Drinking Water, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,devubangalore@gmail.com,
44,AIC-ASSISTECH FOUNDATION,U88900KA2023NPL171856,Section 8 Company,"44/A, Datta Prabhas,1st Main Road,3rd phase, JP Nagar III Phase, Bangalore South, Bangalore-560078, Karnataka , BANGALORE, BENGALURU URBAN (Karnataka) - 560078",Differently Abled,ALL,prateek@atflabs.org,https://atflabs.org/
45,Aikya Charitable Trust,P-9133,Trust,"No 10, Akshaya, 2nd main, 1st Avenue, Shubh Enclave, Haralur Road , Bengaluru South, BENGALURU URBAN (Karnataka) - 560102","Differently Abled, Aged/Elderly, Environment & Forests, Health & Family Welfare, Animal Welfare",ALL,mouli9281@gmail.com,
46,AJ AGAPE CHARITABLE TRUST,KCH-4-00025-2020-21,Trust,"No. 56, Ground Floor, Hennur Main Road, Lingarajapuram , Bengaluru North, BENGALURU URBAN (Karnataka) - 560084","Children, Civic Issues, Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,ajactrust@gmail.com,
47,AJAY D LIMA WELFARE TRUST,SHV-4-00528-2006-07,Trust,"No 307, Raheja Regent, 35 Coles road, Bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560005",Health & Family Welfare,BENGALURU URBAN,adll1@yahoo.com,
48,Akamai Technologies India Corporate Social Responsibility Trust,594 2014-15,Trust,"Augusta Building, Embassy Golf Links Software Park, Off Intermediate Ring Road , Bengaluru North, BENGALURU URBAN (Karnataka) - 560071","Differently Abled, Education & Literacy, Water Resources",BENGALURU RURAL,achakrav@akamai.com,
49,Akila Bharatha Mahila Seva Samaja,495 / 93-94,Society,"No 268, 6th cross, 1st block, Jayanagar, Bengaluru-560011, Karnataka , Bangalore, BENGALURU URBAN (Karnataka) - 560011","Children, Differently Abled, Health & Family Welfare, Women's Development & Empowerment",ALL,spaltkinder@gmail.com,http://www.abmss.in/home.html
50,AKILAM FOUNDATIONS SPIRITUAL & CHARITABLE TRUST,623/2022-23,Trust,"No.106/1, Ashwathamma Land, 12th Cross, 3rd Main, Hoysalanagar, T C Palya Main Road, Ramamurthynagar, Dooravaninagar Post, , Bengaluru, BENGALURU URBAN (Karnataka) - 560016","Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",ALL,AKILAMFOUNDATIONS@GMAIL.COM,
51,AKOHAM GLOBAL TRUST FOR HEALTH CARE EDUCATIONAL INSTITUTION CANCER,AADTA0299CE20221,Trust,"591/3, Akashvani Layout, Dasarahalli, Anandnagar, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560024","Education & Literacy, Aged/Elderly, Health & Family Welfare, Rural Development & Poverty Alleviation, Vocational Training",BENGALURU URBAN,akoham1@gmail.com,
52,AKSHADHAA ASSISTED LIVING COMMUNITY FOUNDATION,U85104KA2025NPL202075,Section 8 Company,"987, 2nd K cross, 1st Block, HRBR Layout, Kalyan Nagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043",Differently Abled,BENGALURU URBAN,vijayaprabha3@gmail.com,
53,AKSHADHAA FOUNDATION,289,Trust,"720, 2nd Cross, HRBR Layout, Block 1, Banaswadi, Kalyan Nagar , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled",ALL,sumana.dutta@akshadhaafoundation.org,https://www.akshadhaafoundation.org/
54,AKSHARA CARING FOUNDATION,B-IV/526/24/25,Trust,"NO. 293, 6TH MAIN, 11TH BLOCK, NAGARBHAVI, BENGALURU , BENGALORE, BENGALURU URBAN (Karnataka) - 560072","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,aksharacaringfoundation@gmail.com,
55,AKSHOBHYAA FOUNDATION,169,Trust,"NO.10 9TH MAIN ROAD BHARATH MATHA BLOCK VYALIKAVAL ARANYA BHAVAN MALLESWARAM BENGALURU KARNATAKA STATE , BANGALORE, BENGALURU URBAN (Karnataka) - 560003","Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy",ALL,akshobhyaafoundation@gmail.com,
56,al aman educational and welfare trust,892/95-96,Trust,"62, mosque road, frazer town, bangalore-560005 , BANGALORE, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,ashianaoldage@gmail.com,http://ashianahome.org/
57,AL ANSAAR EDUCATIONAL AND WELFARE TRUST,HLS-4-00038-2025-26,Trust,"No. 15/16, 7th B Cross, Kaveri Nagar, R. T. Nagar Post, Bengaluru-560032. , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Civic Issues, Education & Literacy, Health & Family Welfare, Minority Issues",BENGALURU URBAN,arifahmed9620714948@gmail.com,
58,AL AZEEZ EDUCATIONAL WELFARE AND CHARITABLE TRUST,HBB400057/2022-23,Trust,"958, 4th Cross, Opp. Government High School, Dr. Shivarama Karanth, Post, R.K Hegde Nagar, Bangalore-560077 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560077","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",BENGALURU URBAN,alazeezeducationalwelfaretrust@gmail.com,
59,AL HIDAAYAH EDUCATIONAL & WELFARE TRUST,HLS-4-00522-2015-16,Trust,"No 24, Kenchappa road, Frazer Town, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Education & Literacy, Aged/Elderly, HIV/AIDS",ALL,zarinamazhari@gmail.com,
60,AL-ANSAAR TRUST,SRI-4-00156-2003-04,Trust,"NO 1/30,7TH CROSS,PIPE LINE,MYSORE ROAD,BANGALORE 560026 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560026","Art & Culture, Differently Abled, Education & Literacy, Aged/Elderly, Human Rights",ALL,alansaartrust01@gmail.com,
61,AL-NISAR CHARITABLE TRUST,80/2022-23,Trust,"39, VISHVESWARAIAH LAYOUT, Sathnur, Bagalur S.O , Bengaluru East, BENGALURU URBAN (Karnataka) - 562149","Aged/Elderly, Housing, Rural Development & Poverty Alleviation",ALL,ashfaqahamed@gmail.com,
62,AL-QUAIR INDIAN TRUST,BNG(U)BSK19-2018-19,Trust,"573, 5th cross Sarabande Palya BSKII bangalore 560070 , Bangalore, BENGALURU URBAN (Karnataka) - 560070","Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly, Food Processing",ALL,SRINIVAS.SM1990@GMAIL.COM,
63,ALAMBA CHARITABLE TRUST,IV-576-04/05,Trust,"No.143,1st Cross Road, Ashalaya Layout, Unity Enclave Main Road Off Hennur-Bagalur Road, Geddalahalli, Kottanur Post, East, Taluk, Bengaluru, Karnataka 560077 , BANGALORE, BENGALURU URBAN (Karnataka) - 560077","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,alamba.trust@gmail.com,http://www.alamba.org/
64,ALAMPALLI VENKATARAMANA SETTY SAVITHRAMMA CHARITABLE TRUST,732/82-83,Trust,"SHREYAS, No.105, Bull Temple Road, Bengaluru-560019 , Bangalore, BENGALURU URBAN (Karnataka) - 560019","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,sanjeevmurthy.alampalli@gmail.com,
65,ALFA LITTLE HUMANITY FOUNDATION,BK-IV-77/2025-26,Trust,"N0 196 3RD FLOOR JK LAYOUT OPP ST LOURDES CHURCH HALASURU BENGALURU - 560084 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled, Education & Literacy, Aged/Elderly, Food Processing",BENGALURU URBAN,alfred785@gmail.com,
66,All India Health Education and Development Org,BKIV-208/20-21,Trust,"no 43/2 Viratnagar main road, NGR layout, bommanahalli, bangalore560068 , Bangalore, BENGALURU URBAN (Karnataka) - 560068","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,aihed.org@gmail.com,
67,ALL INDIA SCHOOL PRINCIPALS AND COLLEGE PRINCIPALS ASSOCIATION,KCH-4-00053-2023-24,Trust,"G1, GAYATHRI ENCLAVE, CHANDRAPURA MAIN ROAD, BANGALORE NORTH, WEST S.O, BANGALORE- 560015 , Banagalore, BENGALURU URBAN (Karnataka) - 560015","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,kumarnarendra507@gmail.com,
68,Allinclusive Foundation,138600,Section 8 Company,"FLAT NO E-318, HABITAT SPLENDOUR, ITPL MAIN ROAD, KUNDANAHALLI BROOKEFIELD Bengaluru Bangalore KA 560037 IN , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Minority Issues",ALL,allinclusivefoundation@gmail.com,https://simplebooklet.com/allinclusivefoundation
69,ALPHA AND OMEGA CHRISTIAN MINISTRY,361,Trust,"No 24, Kenchappa road, Frazer Town, Bangalore, Bangalore, BENGALURU URBAN (Karnataka) - 560005","Drinking Water, Education & Literacy, Labour & Employment",BENGALURU URBAN,sunilpauld@gmail.com,
70,AMARANTHA FOUNDATION,U85300KA2021NPL151755,Section 8 Company,"No 78, GR Sun Villas, Nimabekaypura Hoskur Road, Bengaluru Bangalore KA 562114 , Bengaluru, BENGALURU URBAN (Karnataka) - 562114","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,dvchalapathy@yahoo.com,
71,AMARDEEP FOUNDATION,166/2015-16,Trust,"# 269, 8th Main, Rajivgandhi Nagar, Nandini Layout, bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560096","Education & Literacy, Rural Development & Poverty Alleviation",BENGALURU URBAN,deepthideeps@gmail.com,
72,AMAZING GRACE FOUNDATION,HBB-04-00259-201617,Trust,"NO 67 1ST FLOOR 21 A CROSS BHUVANESHWAI NAGAR COFFEE BOAD LAYOUT HEBBAL KEMPAPURA , Bengaluru North, BENGALURU URBAN (Karnataka) - 560024","Education & Literacy, Aged/Elderly, Women's Development & Empowerment",ALL,anitajforjesus@gmail.com,
73,AMBA,GAN-4-00068-2004-05 / GAND-14,Trust,"No 48 HIG 1st Main 4th Cross Rd opp Pebble Bay 3rd Block Amarjyothi Layout Dollars Colony R M V 2nd Stage Bengaluru Karnataka 560094 , Bangalore, BENGALURU URBAN (Karnataka) - 560094","Differently Abled, Education & Literacy, Information & Communication Technology, Labour & Employment, Rural Development & Poverty Alleviation",ALL,ssr@ambaforlife.org,http://www.ambaforlife.org/
74,AMBIGAR FOUNDATION,IV 33/2020-21,Trust,"2, INSIDE BBMP PARK, AMRUTHANAGAR MAIN ROAD, OPP. KONANAKUNTE POLICE STATION , Bengaluru East, BENGALURU URBAN (Karnataka) - 560062","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Aged/Elderly, Animal Welfare",BENGALURU RURAL,aaraikeorg@gmail.com,
75,AMBIGARA CHOWDAIAH FOUNDATION,VJN-4-00483-2015-16,Trust,"1/1 1st Main Marenhallimain road, Vijayanagar , Banglore-560040 , Banglore, BENGALURU URBAN (Karnataka) - 560040","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Environment & Forests",ALL,acfoundation2016@gmail.com,
76,AMERICAN WISDOM PEACE EDUCATION SOCIETY,DRB3/SOR/752/2024-2025,Society,"No-26, 2nd Floor Kalyan Nagar, Vasant Nagar Main Road, Bangalore South Bangalore Zone 3, Bangalore South Vasanthapura -560062 Bengaluru Zone 3 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560062","Children, Differently Abled, Health & Family Welfare, Rural Development & Poverty Alleviation, Women's Development & Empowerment",BENGALURU URBAN,adsglobalmedia2024@gmail.com,
77,AMERIS TRUST,LAG-4-00040-2020-21,Trust,"305 2nd stage 13th block near aryan presidency school nagarbhavi bengaluru 560072 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560072","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,chowshreefoundation@gmail.com,
78,AMICI DIRAOUL FOLLEREAU,117/IV/290/1998-1999/JNR/BLR,Trust,"No.58,4th Cross, Kavery Layout, Thavarekere Main Road, Dharmaram College P.O. Bengaluru-560029 , Bangalore, BENGALURU URBAN (Karnataka) - 560029","Differently Abled, Disaster Management, Health & Family Welfare, Rural Development & Poverty Alleviation, Women's Development & Empowerment",ALL,aifo@aifoindia.org,http://aifoindia.org/
79,AMRITA EDUCATIONAL TRUST,659,Trust,"AT #14, KAMAL PRASH DENA BANK COLONY , GANGANAGAR , BENGALURU , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests",BENGALURU URBAN,Advocatenitinam@gmail.com,
80,Amruth Charitable Trust,HLS-4-00060-2025-26,Trust,"No 70, Shop No 1 and 2, Hutchins Main Road, St Thomas Town, Bengaluru , Bengaluru East, BENGALURU URBAN (Karnataka) - 560084","Education & Literacy, Aged/Elderly, Nutrition, Rural Development & Poverty Alleviation, Women's Development & Empowerment",BENGALURU URBAN,swethadinesh2021@gmail.com,
